City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,port alfred,-33.5906,26.891,24.54,76,100,2.68,ZA,1675554912
122,ketchikan,55.3422,-131.6461,7.99,87,100,8.23,US,1675554915
123,baykit,61.67,96.37,-14.64,98,99,0.91,RU,1675554790
124,paciran,-6.8767,112.3761,25.37,87,100,2.96,ID,1675554917
125,cayenne,4.9333,-52.3333,24.02,100,75,4.12,GF,1675554889
126,mineral wells,32.8085,-98.1128,14.11,47,0,7.72,US,1675554706
127,perth,-31.9333,115.8333,28.9,59,0,4.63,AU,1675554919
128,dehloran,32.6941,47.2679,10.9,42,81,2.38,IR,1675554919
129,alice springs,-23.7,133.8833,21.75,43,1,4.12,AU,1675554914
130,torbay,47.6666,-52.7314,-12.5,84,75,9.26,CA,1675554921
131,saint paul,44.9444,-93.0933,-1.27,72,100,3.6,US,1675554316
132,imphal,24.8167,93.95,7.08,63,41,0.95,IN,1675554922
133,talnakh,69.4865,88.3972,-12.66,96,100,3.19,RU,1675554923
134,kargasok,59.0556,80.8572,-19.85,100,100,1.6,RU,1675554924
135,jiwani,25.05,61.7417,21.71,82,0,7.4,PK,1675554924
136,tama,41.9667,-92.5769,7.29,78,97,4.64,US,1675554925
137,micheweni,-4.9667,39.8333,26.54,78,100,3.89,TZ,1675554926
138,nikolskoye,59.7035,30.7861,-4.06,91,99,2.73,RU,1675554927
139,comodoro rivadavia,-45.8667,-67.5,25.92,38,0,2.57,AR,1675554928
140,sola,-13.8833,167.55,27.15,83,100,14.52,VU,1675554929
141,bredasdorp,-34.5322,20.0403,20.14,91,2,3.17,ZA,1675554929
142,puerto escondido,15.85,-97.0667,26.37,66,13,1.93,MX,1675554930
143,solnechnyy,50.7214,136.6319,-21.63,95,99,0.7,RU,1675554931
144,laiwu,36.1928,117.6569,0.22,61,0,1.82,CN,1675554931
145,mehamn,71.0357,27.8492,-3.03,74,40,4.63,NO,1675554932
146,ribeira grande,38.5167,-28.7,16.54,89,32,5.36,PT,1675554932
147,lebu,-37.6167,-73.65,15.02,95,61,2.06,CL,1675554777
148,tianmen,30.6516,113.1603,8.04,76,96,1.55,CN,1675554933
149,filadelfia,39.9523,-75.1638,-3.06,51,20,5.66,US,1675554703
150,vitim,59.4511,112.5578,-16.32,96,100,2.23,RU,1675554934
151,cidreira,-30.1811,-50.2056,23.12,75,55,3.57,BR,1675554935
152,ambulu,-8.345,113.6058,24.36,90,100,2.04,ID,1675554635
153,storsteinnes,69.2408,19.2344,0.77,86,100,2.66,NO,1675554936
154,afonso bezerra,-5.4983,-36.5056,26.42,71,93,5.73,BR,1675554937
155,upernavik,72.7868,-56.1549,-22.4,98,100,0.4,GL,1675554937
156,leeuwarden,53.2014,5.8086,6.67,92,100,3.09,NL,1675554938
157,yulara,-25.2406,130.9889,24.22,23,0,7.46,AU,1675554939
158,hobyo,5.3505,48.5268,23.48,74,51,6.27,SO,1675554939
159,kudahuvadhoo,2.6708,72.8944,26.23,67,76,2.11,MV,1675554940
160,angoram,-4.0625,144.0661,29.18,75,100,0.74,PG,1675554940
161,khasan,42.4308,130.6434,-6.92,72,56,1.44,RU,1675554941
162,jamestown,42.097,-79.2353,-3.23,35,0,6.17,US,1675554772
163,seydi,39.4816,62.9137,3.44,72,75,1.83,TM,1675554942
164,kruisfontein,-34.0033,24.7314,20.7,64,54,1.58,ZA,1675554788
165,kavieng,-2.5744,150.7967,28.4,71,90,1.81,PG,1675554943
166,kurilsk,45.2333,147.8833,-6.03,79,99,6.8,RU,1675554943
167,beringovskiy,63.05,179.3167,-26.64,84,59,7.21,RU,1675554944
168,paamiut,61.994,-49.6678,-6.26,77,100,7.36,GL,1675554945
169,souillac,-20.5167,57.5167,26.21,83,75,1.54,MU,1675554945
170,bilibino,68.0546,166.4372,-36.11,97,15,1.75,RU,1675554946
171,kropotkin,45.4375,40.5756,1.76,91,100,2.46,RU,1675554947
172,namatanai,-3.6667,152.4333,28.38,72,100,1.01,PG,1675554947
173,soma,39.1855,27.6094,3.47,93,100,1.47,TR,1675554948
174,makubetsu,45.3714,141.8211,-9.16,86,75,2.57,JP,1675554948
175,zhuanghe,39.7008,122.9911,-1.07,70,0,0.54,CN,1675554949
176,nyurba,63.2842,118.3319,-47.64,100,100,0.83,RU,1675554949
177,port hardy,50.6996,-127.4199,8.1,93,75,9.77,CA,1675554762
178,coquimbo,-29.9533,-71.3436,20.85,68,0,4.63,CL,1675554548
179,saint-georges,12.0564,-61.7485,25.82,83,20,8.23,GD,1675554902
180,hithadhoo,-0.6,73.0833,27.36,71,72,6.98,MV,1675554762
181,conakry,9.538,-13.6773,27.04,83,4,3.09,GN,1675554951
182,faya,18.3851,42.4509,11.29,60,84,0.29,SA,1675554952
183,porto torres,40.835,8.3972,5.1,84,0,2.22,IT,1675554953
184,iqaluit,63.7506,-68.5145,-36.84,65,40,7.2,CA,1675554785
185,vestmannaeyjar,63.4427,-20.2734,4.89,87,100,13.41,IS,1675554954
186,ereymentau,51.6199,73.1033,-17.38,96,100,2.64,KZ,1675554954
187,san patricio,28.017,-97.5169,20.92,68,29,3.46,US,1675554597
188,provideniya,64.3833,-173.3,-18.83,91,98,4.77,RU,1675554955
189,ust-koksa,50.2696,85.6108,-6.82,97,100,0.48,RU,1675554956
190,ponta do sol,32.6667,-17.1,17.35,50,27,3.81,PT,1675554956
191,san luis,-33.295,-66.3356,22.79,37,0,6.75,AR,1675554801
192,kuldur,49.2167,131.6333,-16.93,95,99,1.4,RU,1675554957
193,saint george,37.1041,-113.5841,14.41,35,0,1.54,US,1675554958
194,tilichiki,60.4667,166.1,-25.12,95,39,3.58,RU,1675554790
195,praia da vitoria,38.7333,-27.0667,15.42,94,20,6.41,PT,1675554959
196,paris,48.8534,2.3488,8.76,81,100,4.63,FR,1675554394
197,panna,24.7167,80.2,13.82,41,0,1.24,IN,1675554960
198,ojinaga,29.5667,-104.4167,21.43,34,0,0.0,MX,1675554960
199,alihe,50.5667,123.7167,-26.77,100,76,1.43,CN,1675554961
200,arlit,18.7369,7.3853,21.54,10,13,4.53,NE,1675554962
201,jachymov,50.3585,12.9347,-2.25,77,20,1.03,CZ,1675554962
202,lorengau,-2.0226,147.2712,29.21,68,96,2.48,PG,1675554963
203,guiratinga,-16.3494,-53.7583,22.38,93,94,1.61,BR,1675554964
204,mahebourg,-20.4081,57.7,26.16,83,75,1.54,MU,1675554965
205,talara,-4.5772,-81.2719,27.42,100,40,3.09,PE,1675554965
206,teguldet,57.3064,88.1667,-24.05,100,100,0.1,RU,1675554966
207,mao,39.8885,4.2658,12.31,66,0,9.77,ES,1675554967
208,itarema,-2.9248,-39.9167,26.13,81,35,5.91,BR,1675554968
209,nacala,-14.5428,40.6728,24.48,92,56,1.03,MZ,1675554969
210,thaba-tseka,-29.522,28.6084,11.43,78,14,0.8,LS,1675554970
211,inirida,3.8653,-67.9239,26.0,69,84,0.45,CO,1675554971
212,usinsk,65.9939,57.5281,-12.62,96,99,3.68,RU,1675554972
213,tefe,-3.3542,-64.7114,22.53,99,100,1.06,BR,1675554973
214,carutapera,-1.195,-46.02,24.74,93,100,3.35,BR,1675554973
215,ilheus,-14.7889,-39.0494,28.9,74,75,2.57,BR,1675554974
216,port elizabeth,-33.918,25.5701,28.16,44,0,8.75,ZA,1675554975
217,aykhal,66.0,111.5,-38.36,100,67,1.06,RU,1675554976
218,georgetown,5.4112,100.3354,25.96,94,20,2.57,MY,1675554694
219,faanui,-16.4833,-151.75,27.51,73,50,7.58,PF,1675554979
220,tayshet,55.9342,98.0044,-20.55,100,98,1.04,RU,1675554979
221,mingshui,36.7167,117.5,1.15,58,0,3.85,CN,1675554980
222,sheopur,25.6667,76.7,15.67,40,0,0.64,IN,1675554981
223,coahuayana,18.7333,-103.6833,27.27,52,0,1.93,MX,1675554981
224,salamanca,40.8333,-6.0,0.0,54,0,3.77,ES,1675554982
225,new norfolk,-42.7826,147.0587,22.06,46,9,1.79,AU,1675554776
226,clinton,42.587,-82.9199,1.07,64,75,4.63,US,1675554983
227,sosnogorsk,63.6023,53.8817,-22.59,100,100,1.11,RU,1675554984
228,tura,25.5198,90.2201,12.89,57,2,1.33,IN,1675554985
229,pishin,30.5803,66.9961,9.06,54,18,1.31,PK,1675554986
230,bata,1.8639,9.7658,26.57,83,38,3.29,GQ,1675554987
231,portland,45.5234,-122.6762,10.9,79,100,3.58,US,1675554877
232,parabel,58.6978,81.4825,-20.19,100,100,1.62,RU,1675554988
233,ostrovnoy,68.0531,39.5131,-10.25,84,100,5.66,RU,1675554988
234,high level,58.5169,-117.136,-12.94,85,100,1.54,CA,1675554989
235,salinas,36.6777,-121.6555,16.38,87,100,5.14,US,1675554501
236,lieksa,63.3167,30.0167,-19.3,98,98,1.91,FI,1675554990
237,quatre cocos,-20.2078,57.7625,26.06,85,79,3.54,MU,1675554991
238,adana,36.985,35.2881,8.01,71,75,2.06,TR,1675554992
239,yar-sale,66.8333,70.8333,-13.6,97,96,3.16,RU,1675554992
240,taoudenni,22.6783,-3.9836,15.23,38,100,6.01,ML,1675554993
241,te anau,-45.4167,167.7167,16.35,95,100,2.93,NZ,1675554993
242,biak,-0.9131,122.8766,24.72,82,100,1.91,ID,1675554994
243,naze,28.3667,129.4833,14.51,64,99,4.61,JP,1675554994
244,puerto del rosario,28.5004,-13.8627,13.86,72,0,3.6,ES,1675554995
245,arraial do cabo,-22.9661,-42.0278,25.24,88,23,6.13,BR,1675554996
246,port-gentil,-0.7193,8.7815,25.98,94,20,1.54,GA,1675554857
247,kasungu,-13.0333,33.4833,17.86,97,89,0.74,MW,1675554997
248,tautira,-17.7333,-149.15,26.94,76,76,6.79,PF,1675554997
249,dodge city,37.7528,-100.0171,12.14,39,0,6.69,US,1675554844
250,sao jose da coroa grande,-8.8978,-35.1478,25.98,81,38,3.19,BR,1675554998
251,pisco,-13.7,-76.2167,23.03,94,0,4.12,PE,1675554964
252,qostanay,53.1667,63.5833,-10.84,92,100,4.0,KZ,1675555000
253,guaruja,-23.9931,-46.2564,29.38,26,54,0.89,BR,1675554792
254,coihaique,-45.5752,-72.0662,25.97,38,20,3.09,CL,1675554944
255,linxia,35.6003,103.2064,-0.71,46,79,0.21,CN,1675555001
256,pavlodar,52.3,76.95,-23.11,77,75,3.0,KZ,1675555002
257,swellendam,-34.0226,20.4417,22.18,72,18,2.18,ZA,1675555002
258,pangnirtung,66.1451,-65.7125,-35.19,99,83,0.12,CA,1675555003
259,kulhudhuffushi,6.6221,73.07,26.69,78,100,1.71,MV,1675555003
260,krasnoselkup,65.7,82.4667,-13.58,96,100,3.97,RU,1675555004
261,pipar,26.3856,73.5378,17.06,30,0,2.16,IN,1675555005
262,roebourne,-20.7833,117.1333,32.66,45,81,1.43,AU,1675555005
